Gene	iKOX-5_plus_ATc1											
TGGT1_213920	513											
TGGT1_213930	118											
TGGT1_213940	1788											
TGGT1_213950	125											
TGGT1_213960	2											
TGGT1_213970	256											
TGGT1_214070	0											
TGGT1_214080	228											
TGGT1_214090	3360											
TGGT1_214100	462											
TGGT1_214110	427											
TGGT1_214115	3											
TGGT1_214120	88											
TGGT1_214130	558											
TGGT1_214140	876											
TGGT1_214150	88											
TGGT1_214160	51											
TGGT1_214170	377											
TGGT1_214180	488											
TGGT1_214190	2											
TGGT1_214200	297											
TGGT1_214210	904											
TGGT1_214220	6412											
TGGT1_214230	280											
TGGT1_214240	606											
TGGT1_214250	257											
TGGT1_214260	470											
TGGT1_214270	2054											
TGGT1_214280	215											
TGGT1_214290	1136											
TGGT1_214295	0											
TGGT1_214300	535											
TGGT1_214310	361											
TGGT1_214320	3533											
TGGT1_214330	27											
TGGT1_214340	275											
TGGT1_214350	1008											
TGGT1_214370	363											
TGGT1_214380	153											
TGGT1_214385	159											
TGGT1_214390	163											
TGGT1_214400	459											
TGGT1_214420	48											
TGGT1_214430	239											
TGGT1_214440	2046											
TGGT1_214470	313											
TGGT1_214480	101											
TGGT1_214490	351											
TGGT1_214500	350											
TGGT1_214510	36											
TGGT1_214520	160											
TGGT1_214530	250											
TGGT1_214540	352											
TGGT1_214545	2											
TGGT1_214550	0											
TGGT1_214560	742											
TGGT1_214570	0											
TGGT1_214575	99											
TGGT1_214580	45											
TGGT1_214590	424											
TGGT1_214600	761											
TGGT1_214610	207											
TGGT1_214620	866											
TGGT1_214630	257											
TGGT1_214740	238											
TGGT1_214750	533											
TGGT1_214760	102											
TGGT1_214770	382											
TGGT1_214780	225											
TGGT1_214790	1080											
TGGT1_214800	206											
TGGT1_214810	100											
TGGT1_214820	392											
TGGT1_214830	154											
TGGT1_214835	98											
TGGT1_214840	2292											
TGGT1_214850	173											
TGGT1_214860	7											
TGGT1_214870	138											
TGGT1_214880	718											
TGGT1_214900	1287											
TGGT1_214910	136											
TGGT1_214920	268											
TGGT1_214930	143											
TGGT1_214940	11950											
TGGT1_214950	2292											
TGGT1_214960	679											
TGGT1_214970	1030											
TGGT1_214980	1861											
TGGT1_214990	505											
TGGT1_215010	174											
TGGT1_215020	90											
TGGT1_215030	324											
TGGT1_215040	471											
TGGT1_215050	129											
TGGT1_215060	304											
TGGT1_215070	217											
TGGT1_215080	501											
TGGT1_215090	207											
TGGT1_215100	461											
TGGT1_215130	191											
TGGT1_215140	12											
TGGT1_215150	893											
TGGT1_215160	672											
TGGT1_215165	0											
TGGT1_215170	377											
TGGT1_215180	50											
TGGT1_215185	2											
TGGT1_215195	16											
TGGT1_215210	585											
TGGT1_215220	10244											
TGGT1_215230	905											
TGGT1_215250	252											
TGGT1_215260	790											
TGGT1_215270	0											
TGGT1_215280	359											
TGGT1_215290	287											
TGGT1_215300	424											
TGGT1_215320	4											
TGGT1_215328	0											
TGGT1_215340	33											
TGGT1_215343	14											
TGGT1_215347	41											
TGGT1_215350	565											
TGGT1_215360	405											
TGGT1_215370	373											
TGGT1_215380	271											
TGGT1_215385	3											
TGGT1_215390	208											
TGGT1_215400	131											
TGGT1_215410	0											
TGGT1_215420	319											
TGGT1_215425	456											
TGGT1_215430	884											
TGGT1_215440	1003											
TGGT1_215450	164											
TGGT1_215460	11723											
TGGT1_215470	11982											
TGGT1_215480	362											
TGGT1_215490	1816											
TGGT1_215500	122											
TGGT1_215510	361											
TGGT1_215520	202											
TGGT1_215530	556											
TGGT1_215540	40											
TGGT1_215550	142											
TGGT1_215560	44											
TGGT1_215570	135											
TGGT1_215580	5											
TGGT1_215590	925											
TGGT1_215600	162											
TGGT1_215610	194											
TGGT1_215620	277											
TGGT1_215640	368											
TGGT1_215650	5											
TGGT1_215660	129											
TGGT1_215670	0											
TGGT1_215680	258											
TGGT1_215690	328											
TGGT1_215700	2020											
TGGT1_215710	800											
TGGT1_215730	190											
TGGT1_215740	181											
TGGT1_215750	128											
TGGT1_215775	23											
TGGT1_215885	0											
TGGT1_215890	523											
TGGT1_215895	158											
TGGT1_215900	1											
TGGT1_215910	2211											
TGGT1_215920	121											
TGGT1_215930	59											
TGGT1_215940	199											
TGGT1_215950	249											
TGGT1_215955	27											
TGGT1_215960	5											
TGGT1_215970	174											
TGGT1_215980	30077											
TGGT1_215990	197											
TGGT1_216000	1342											
TGGT1_216010	399											
TGGT1_216020	185											
TGGT1_216030A	142											
TGGT1_216030B	25											
TGGT1_216040	169											
TGGT1_216050	147											
TGGT1_216053	0											
TGGT1_216055	136											
TGGT1_216060	622											
TGGT1_216070	242											
TGGT1_216080	2796											
TGGT1_216090	0											
TGGT1_216120	568											
TGGT1_216130	387											
TGGT1_216140	1624											
TGGT1_216150	0											
TGGT1_216155	0											
TGGT1_216160	6											
TGGT1_216170	347											
TGGT1_216180	749											
TGGT1_216190	371											
TGGT1_216200	0											
TGGT1_216210	536											
TGGT1_216220	437											
TGGT1_216230	540											
TGGT1_216240	194											
